leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,piRxd3QNE9omzuhmvW8p2K0Byp8aqiAg990s4C2Hza12YDk,Enìgma,411,155,130,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,3diM3L-3QQoDJENe0GNBTdCyAPfSH0jH2P6BvQ8qhOi5fEo,Revive,410,680,656,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,FVQtc7YCYzwd-WhuKC4FB66kQqR9A0a-PoDxvsgDCi4V8rg,Skyfires,407,692,653,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,CS6y1FGaeFDAWiGnt3AM3WepTNNVK_RXJIfdymMGaSCR9fw,MeiGuiAiJinEr,407,172,129,True,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,kXkjvHfY7lsOrlXPj6bHxAna_TxMHZXObT80SN8FJ2SwseU,King of Facebook,406,537,505,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,NJmR5vXn1-fed8apBrb1-QmSxzIULMVx3q3DNlqws4hakVo,A quiet summoner,405,497,414,True,False,False,True
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,sOe2iCb9p66vjsvBaTN7_7MgAIOn8vLs_H-6zFwoA9Y7dko,Saiyans,405,454,426,True,False,False,True
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,zoNh7OEsK5TLB6InORLeSccG7YiSdXHQi-a8DlMG9qa7zG4,Unpredict people,405,223,191,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,iIVVxV5xUx356JEoPHGNsyNZvANn5hFdRXgNbpK_eOu7B2A,ˆDeng Ni Xia Kè,404,150,114,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,CwcLWnhJ-ABQ5KZ905nYuuh3Y--v0ZMypbtPpE08iU4EM5J2,zdr,403,228,150,True,False,False,True
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,0tUq7HxflAh9hqxofiJJ8JXN2zlYSaLDI1OhFiplKyvoSgw,kennyHYPERBRUH,403,134,114,True,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,kVlxD093cz7tSGwZLA0P4wXVKVowax2pWLVWaO7AV89jqUQ,Yamikaze,402,216,198,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,yKuvv23UAy9pzdhxKAgqZ9g_ti8dsc0X_3T1AUD143O9js6b,llIlIllIllllllIl,402,163,67,False,False,True,False
