,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
351,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,lIH0RcBwGmek86_vtMufyRMKPLIYhx6dUVz23NVep6BOgL8,shoemakerzzz,0,119,86,False,False,False,False
352,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,5hCtcJMgP3g9NUxea_m90X_cM15WI4kH6rhWwkkH3AjvI6cQ,Guintu,0,118,40,False,False,True,False
353,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,kogn3XHl24KSwjiLUy_iI8X2Obo1rsbgDUHiaDv6KGdIsLo,Houdini Brandini,0,118,98,False,False,False,False
354,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,P7zHAs3je2kGEtlAtpGQoNlFlKHb6t2u5fkykuwJyXtr,Hoocheroni,0,115,91,False,False,True,False
355,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,vA-VgylVdlFB6IwV_xHqjBDDAnOqhOE5hd2uaaEQfqkaH_Y,skyverylice,0,112,52,False,False,True,False
356,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,hJm4OKT5cAIyTepqGpOi1Mnp3zDUWuqj7pcXUH5wuA-SjlA,IneroZikzParth,0,112,75,False,False,True,False
357,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,Htgq6-LXQfjtctvYcK-oTEOWQOmJessOnbHmQbK7Wj_hWJE,ofkw,0,111,98,False,False,False,False
358,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,g0JtxmpxYjIZ2o7sY7kL7E1gezADqBPdBjBWbvwcEV38k1E,dioxide1,0,109,93,False,False,True,False
359,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,JflGs2gY24q-brMkgbrpx9Qr-Lg_DdsvscGoXb48ozmpbdI,Føxtrot,0,107,95,False,False,True,False
360,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,TigSzsFO48E22IzBQ7dOaDQ_S9fa7UY8SL9M-o0txgpf1cU,DamnYouFine,0,103,58,False,False,True,True
361,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,A44dnlVU-3ipSr7GGecIftRJL9BhmBQ6sFIXJHJdF_XtK40,Lawton,0,103,66,False,False,True,False
362,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,3NEB93sTSul4AnAYaSpgYR9Pl42npCVCXK9wOtruJyxsACQ,LucidDreams,0,89,60,False,False,True,False
363,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,b0Ja7o3tA6XrgntwqOf__nr4BQG2gkQOkBCNbiIYeDhj61XF,its fervor,0,86,25,False,False,True,True
364,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,ePYu5Io15MbMHea6HDmat0QLK9eB8gjU0Bj1yql7vOQfeDo,Ahri,0,86,52,False,False,True,True
365,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,AlhHaEURAVYZBO1m8Xvxzm7oZzwg-P3jnBZBqXkfz_C2Ceg,S L,0,85,34,False,False,True,False
366,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,FvEnT56dyHxdgZYuq6Z14MRs-IKOE6nVV42F6h0bDLDAZwk,ˉ Ø Pk Ø ˉ,0,83,51,False,False,False,False
367,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,u0L9UUNGgHq25r_ry7n_rNM8AWiA4AR3IvGor3bkzRSjlSI,lanse,0,66,47,False,False,True,False
368,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,GZPzTa8U27-JDINKaoeZ5-Y-KWRU-sCqncJYk2iiMQQ2Qqk,ohh,0,63,34,False,False,True,False
369,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,3q6C57UwiLExdg5m8OFw_FH67UJ9ekRe7TO7G4OKOfrduUlQ,Kindred Sörpresa,0,61,43,False,False,True,False
370,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,WTDdS3gDJhW-fC5YkuG9kygAlO6RKhQb3xQSILdN4Ciagrk,Seraphris,0,51,21,False,False,True,False
371,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,e4Hjdr6TRVtYdES6dLcvhiBHlkt_v-DdM-rDGltnRmpaaIs,WWWWWWWWWWWWANG,0,41,27,False,False,True,True
