,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
1451,792e47f6-b2b4-4061-a43c-3a31d7ea493f,RANKED_SOLO_5x5,DIAMOND,II,g9jaiy96PHnXNn-GLpACesBGQK5i79MQs7SLL8vn2x3ToHc,Mute And Pray,63,1192,1215,False,False,False,False,
1452,d2b28269-c76c-40e4-8dc7-270888788477,RANKED_SOLO_5x5,DIAMOND,II,h99OFAZqqk8PMTo9wbPvRPBdc5fy1iRzM3rQ4oeYxwztZKU,Thomas SheIby,9,626,643,False,False,False,False,
1453,f249e643-7bfb-4955-827d-8b289ad7e593,RANKED_SOLO_5x5,DIAMOND,II,LqH-TjHawOKCHKlUSlCSjGhXDws4aSqJndVJwNoev7bt0Gs,gentle voice,0,69,46,False,False,False,False,
1454,9899a927-9c30-4a9a-93d0-73b4b2e7fccb,RANKED_SOLO_5x5,DIAMOND,II,fha0Cyiy-pmNFEXNK5oWrvEU3UTAByLykmczk0uG2churis,roll5,51,88,85,False,False,False,False,
1455,31845af7-afc6-4ad4-8b83-4031b5693c27,RANKED_SOLO_5x5,DIAMOND,II,pu_3fUkgr9tHRo8_hts4h_m4J1Z36iBlaoRmfKLAGSS0tsI,blobstinater,48,133,92,False,False,False,False,
1456,58aab8e6-68e2-4a7f-a3bc-03d88bff1a26,RANKED_SOLO_5x5,DIAMOND,II,80UdGnQE-qmlL60TNqcajQoTDDylztvJ_3UIV2rVWM068SQ,01 VIC,4,313,293,False,False,False,False,
1457,55a82f00-dd40-4bdc-8023-743a5ce50c4a,RANKED_SOLO_5x5,DIAMOND,II,RKiAt1AUYhwdgOTL4o25SYLGH8xxo0cQ5drA-PLwhEiLOFI,TROLLOBOLO,35,52,48,False,False,False,True,
1458,ed97a75a-494b-4732-a553-a57df0a2d396,RANKED_SOLO_5x5,DIAMOND,II,fV5yLZF0Budy4G4WtXZgCotJTfWd4cb51uUnSTOoczC_2uE,Rizzy wan,13,324,322,False,False,False,False,
1459,792e47f6-b2b4-4061-a43c-3a31d7ea493f,RANKED_SOLO_5x5,DIAMOND,II,hH1zW0QqSZwptIS89A2onSDECFrFMkZXbHn5WQgp5IgP_xE,Pink Ward,0,297,314,False,False,False,False,
1460,9ee4e633-82be-4aba-9c47-fbe418d677e1,RANKED_SOLO_5x5,DIAMOND,II,PNpuVqFpCyO24rLHx6poYAPFVRoq5HDEW4qSwaagPv3S4aM,Rosenkavalier,35,639,621,False,False,False,False,
1461,215153f7-7952-401a-a599-694f51d4a99f,RANKED_SOLO_5x5,DIAMOND,II,rOzO8b9swFJuIgEIYGhjqg_qvsI-60dT38onrHfvPnbHlAA,Juvenile,38,507,527,False,False,False,False,
1462,21da1537-7fe8-4ece-890c-1f2bd46bb602,RANKED_SOLO_5x5,DIAMOND,II,TNCkavG3zbT9JcuPfeEH-vkSij7uN65sROSuHyWnVQR6f5s,ZinMaster,0,328,334,False,False,False,False,
1463,1110ae56-3fd6-4e9e-ab32-fa2cbfe4dd79,RANKED_SOLO_5x5,DIAMOND,II,PcO847kllGPYdfB3z18rUE-y8J6C7O2sF2e_Q_sfgiqhBPM,TOP PSYCHOPATH,0,650,654,False,False,False,True,
