,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
40,ecf358d3-ee15-46c8-b9b6-5a7a34d599ee,RANKED_SOLO_5x5,IRON,III,Qj3JtzMmLcUBucz7-AwsqEqBBhPpdoFJ-rofUsG3DCh7wpsW,krumeyo,0,50,48,False,False,False,True,
41,7e8336bb-ba4b-42fd-831a-e3bae4778183,RANKED_SOLO_5x5,IRON,III,vsTpLcM_M0-4V9fJknO_i1C-Qeswm_i6eI1b1mD4auFgkfJl,MrD1M5UM,0,51,63,False,False,False,False,
42,de891949-8a26-4dbb-bbbd-e3649521056c,RANKED_SOLO_5x5,IRON,III,KI7gO38DvMCChzqHfjS2qVer3uNJcEXHF-eIQWkEftx1CFhf,HarpoonHaadi,83,13,23,False,False,False,False,
43,a4ac5177-5f16-44f3-8730-20581afcc21c,RANKED_SOLO_5x5,IRON,III,1k_bYC33lpHddZgOu28Ug1jJmibZPe4R8FCCZCoMzHQTGbK1,Elıxir,43,3,8,False,False,False,False,
44,774dfa75-4c57-4b2d-95b1-26326b151004,RANKED_SOLO_5x5,IRON,III,KNmcZ_UuzvpG3z2uI3bcEnEO3JEaVfoqG0blsOs197pBlX8Z,life is good 24,66,90,136,False,False,False,True,
45,59bae1b8-f3a0-4d59-bbf1-f283128267a8,RANKED_SOLO_5x5,IRON,III,Pjk6eCvWciZ6NM1swg_a4XUfmuPVjfaDzc9Rt7HRYy0Jg-IT,Gon3Boarding,0,2,10,False,False,False,False,
46,e5faf10f-b7ae-4848-aee0-3f5d21f70b9d,RANKED_SOLO_5x5,IRON,III,JIKX0behq6jJKNwBYHTg2_QRjLCNlSEI2bbfZCnAVbjsbjuy,Fidd1e,54,5,14,False,False,False,False,
47,c48c56df-ef39-4c5e-b65a-663a76035977,RANKED_SOLO_5x5,IRON,III,6ut84vreHulyBeQNVzjkwQi47RQcZaZ-edKlwGrz3w6LUw13,ERtzilvania,52,9,10,False,False,False,False,
48,1adf1f92-6292-45d6-ab9b-22af2c2c3663,RANKED_SOLO_5x5,IRON,III,IE8Q6IvdM9vGbybjvN8eB2ldRbE1SJbNQnEtlauq9eiV7jOK,MajorDark,55,2,13,False,False,False,False,
49,24404f05-8a1c-419d-a748-a412a84e3ffb,RANKED_SOLO_5x5,IRON,III,XNP7PBlhx1kF_C4smlRx6Ylg1PcXRSaOI_E5A1dXKeMSrsXb,ArrowPalladin,96,7,10,False,False,False,False,
50,915d5303-b230-4b35-b779-046af677e6b6,RANKED_SOLO_5x5,IRON,III,xQSAOqJ65HD60t76zxtTIuUIamKTHhSiEIiUwR3P54dS8V5K,DegenerateDog,0,29,39,False,False,False,False,
51,ef2a58d0-db5b-43fb-8c09-a0438294b197,RANKED_SOLO_5x5,IRON,III,IiB1LoQ3X8hyxwvdcLOlpQsCHFHhCHdY6BYIlcbj_YoyYmny,PandacreatorIII,90,7,11,False,False,False,False,
52,1ad0cf18-bcce-40d4-ade8-c9cb8f238bc1,RANKED_SOLO_5x5,IRON,III,-xTp_yZ5XuKfraeZZCIpmjpEIbmIv0rpRaxsbVrIjwX-Y_WZ,Demonkiller6665,93,7,16,False,False,False,False,
53,3d1c93e7-a860-4778-88f3-043d35cc3298,RANKED_SOLO_5x5,IRON,III,oyZBhz0qPqQewo7StwPVtCp2i_aCMjEQFQ8PzCrQBWggza96,SalukiKing,41,206,261,False,False,False,False,
54,c2ad16f5-216a-4a56-9299-6278cf51e5e7,RANKED_SOLO_5x5,IRON,III,Dfxqbw5x0uQRWuvJnAiby2BAS3eQtpUCOi9N9AQiJ9Kw5d5r,Merdoc407,68,6,13,False,False,False,False,
55,6ca33bfc-f299-4544-9e4e-079aa17e953b,RANKED_SOLO_5x5,IRON,III,E7b_NtULGs7EDK6FBLLKL4CP8l8Td8GCQ8iSVD6tmXCfKwRz,DragonSlayer092,0,2,11,False,False,False,False,
56,2ee28856-ad12-4c34-b57f-5b18947e59c5,RANKED_SOLO_5x5,IRON,III,UxDGeGFLp3hULOf8TNF4dg-iy1wjb2CPNHSGJswyXOZq6XFD,1allol1,61,3,7,False,False,False,False,
57,bbf49784-3f88-4cb6-bcfd-3a7c580d6e5e,RANKED_SOLO_5x5,IRON,III,dF3mWtdvASmwJpL-SkQpDobHTxg9pcaBYItOdJXClTY50GvI,Thotss R Us,45,4,13,False,False,False,False,
58,1436b199-e2db-48a2-941b-d9ee8dc3a3f1,RANKED_SOLO_5x5,IRON,III,LaBWycvIViaf3qGn3SiRmXovcpzFBEqZvWzSpNWB0nzTqWm_,PurityCracker,70,4,9,False,False,False,False,
59,ae976abd-0465-45f2-adb5-eed897d11f3a,RANKED_SOLO_5x5,IRON,III,j4JFOdmu0-_z0DnbWb91OqQ7HwQtkc1mA31ezToBZtR5z23J,somthingnicehere,68,42,67,False,False,False,False,
60,08de8627-4e13-4944-b977-119ee109da5c,RANKED_SOLO_5x5,IRON,III,XD_XSWSdpQuCgPK0wWOs5ue8ip0L0lQWOM8qmaHKypvKRSfe,egg lover 9000,0,70,115,False,False,False,False,
61,5c909e69-574a-4b29-bcb1-55b70ac39f5b,RANKED_SOLO_5x5,IRON,III,lH7s2wYDuyRVQbP52TAx_xcSl1xdTJCXEimmWlh2n7xGVHsp,DarkShadow1230,69,81,127,False,False,False,True,
62,9656a36c-c567-4973-b7ed-fcb9b09a3569,RANKED_SOLO_5x5,IRON,III,KTqHhuTMkos1bEJYrPtWa6Mc_xPPG2Ojv72F1rzkFDm2-_mZ,masteriyad,14,1,12,False,False,False,False,
63,8b32daa1-45fe-4d35-9d3d-071515f6d834,RANKED_SOLO_5x5,IRON,III,yvy8dSUD3AXZQyfVg5Q06lEccM-oVhxkIi6ES8aTFPyFHiwr,KING PRINCE GOD,36,4,23,False,False,False,False,
64,e9d8ff22-c327-4097-b13a-cef6ccb0d4bb,RANKED_SOLO_5x5,IRON,III,Rwg0YpNKhj9HYSIALGxGZYhjV-IBUK0FclzJ7z6BzmFUgFth,TheSupportQueen,8,98,95,False,False,False,False,
65,c72eca07-4c79-49d4-8bc7-f89ccd8ae98d,RANKED_SOLO_5x5,IRON,III,t8RCUYAdYLl3G01tUWZPdN28zsv9B4K40-_rTdbSkDVFCBnm,SakiIzah,37,4,14,False,False,False,False,
66,4a0bd87b-9cc8-4f87-aa43-e30d2af872e2,RANKED_SOLO_5x5,IRON,III,Nbnj6BABZgk7HR1jXi7W1x8AYhZHgUU9Wr2kOIyYpWgoueRk,maga fan,0,17,17,False,False,False,False,
67,3940cf50-d72c-438d-a62c-3c6fa01ffedc,RANKED_SOLO_5x5,IRON,III,fNYA7X59MqwG_VLR4wqpa3SuqGUX5MtQo-KIpVKnNktSRvLG,TheMajicGamer,49,3,8,False,False,False,False,
68,a26cb6d5-f777-4ec4-8455-645a4fface1d,RANKED_SOLO_5x5,IRON,III,2sZH7URWu3Gql-_jDbbIRaaWUycIWFUV-KyEYGaGefGOAkuO,SøyB3an,27,31,47,False,False,False,False,
69,ead00697-a3bc-4e09-adbe-9fdfa1e483f0,RANKED_SOLO_5x5,IRON,III,sN_SnWd-tubtBhtKrTR-mBegFUwEOayg7qfsQbDDF1gtbyn9,ITitanin,6,2,9,False,False,False,False,
70,5e5081a6-fc57-4e6d-a091-aecb8d02cc63,RANKED_SOLO_5x5,IRON,III,XepeTZygNSPJonjPMfsbb9k91PUNM_9reW0YOoadwx6o1H09,Deport Neeko,50,6,5,False,False,False,False,
71,896986f2-ed09-4235-971c-8f9917c2086f,RANKED_SOLO_5x5,IRON,III,2cZbqv0dpu0CYTQgOqljNhxsRcp5gFL4PFC40vpNEnJjjTEB,NamronSmada,47,3,9,False,False,False,False,
72,accdc2e5-9703-4cb9-9c0c-92838080ec7a,RANKED_SOLO_5x5,IRON,III,z4B39wxX7dkhm8bHVkuTS9PQJUBZZcCvcsxlGzSyds4gv5Bd,PlanBryan,21,33,74,False,False,False,False,
