leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
ff53e487-f3ed-45fb-9a41-fb6f0b1de769,RANKED_SOLO_5x5,IRON,IV,BbHmoolMC_S02GWw1PEwpi0l3IATQDwjK6i2NAEuY2746j8,Kidclaws,53,33,57,False,False,False,False,
214c285d-8439-4f68-bc7f-9bef770646d5,RANKED_SOLO_5x5,IRON,IV,fui9k5ej0eASJwNXm9at444RzzWSZEXn5EyeCpWYn4dPr2E,ClinkinCups,0,23,42,False,False,False,False,
f6eef362-6937-4294-b8da-c98b063c5790,RANKED_SOLO_5x5,IRON,IV,AMraEwzqs63V2H7RJxQntLVzwH_HLdbww0RGGipn7DVzUC4,MrKreepers,24,18,48,False,False,False,False,
ba7bd66a-66b1-436a-a40c-d975767bb93e,RANKED_SOLO_5x5,IRON,IV,kV9c5uojJ-bL-GMaDK_t8c91l4iZRGh74BCeHol39q2ISiQ,Seth KnightLord,19,6,16,False,False,False,False,
48d3ffb3-c298-4bec-abd8-a19918228b43,RANKED_SOLO_5x5,IRON,IV,CC5PySu-5XqOvYGLtYoe2FKKixcZoji-IyrcF094a-lQwC8,Kortar,0,205,237,False,False,False,False,
dace86c0-31da-4617-a4cd-c83a216693fd,RANKED_SOLO_5x5,IRON,IV,FpoRLIEw6tOzmWNn0mpZmLkVGW_niwjDCj_aTTt_d03eOTc,eztaze,0,9,22,False,False,False,False,
87616b44-f995-4f76-8da0-aa64d42b49e5,RANKED_SOLO_5x5,IRON,IV,uq1cfXoY7EwEVUN-Z8kjwB-9IGurxM8u9oHLhBbHg_1rF04,RedFlames,21,37,60,False,False,False,False,
a7e112a5-abdb-4379-915e-a63c4f493d90,RANKED_SOLO_5x5,IRON,IV,H5tioB4uq0BKv9nz-Kb-Ze8cFbTWqjv0MRmQ09PDBIpLozk,TechiCanadian,29,44,72,False,False,False,False,
9c79c54c-36c8-4130-aabe-47eb09bc84e1,RANKED_SOLO_5x5,IRON,IV,c9Er7cjRfwudTmmsjGt_Yd7-uQnd5z9Mg19Dt9JrNdZrnnQ,gibbIz,93,28,38,False,False,False,False,
2bf12c50-047f-46db-9651-8c000087e5dc,RANKED_SOLO_5x5,IRON,IV,pWztwxBKd-yaP2Ki6G8nBBSNk6a0O_yjLidVLLVc27tYorw,OccoLoko,56,21,22,False,False,False,False,
ba849d96-84bf-430f-a1e1-78e9f2f1e2aa,RANKED_SOLO_5x5,IRON,IV,iSUG-Jo976Jv8nA2HWoF2qoJpz8Yt6pcf2TWhQlY4dIyzWM,SirTayVonTeeZe,21,304,394,False,False,False,False,
b646cbca-b29b-4aa4-a5db-c22a9ebdd74d,RANKED_SOLO_5x5,IRON,IV,8DnlI3hyZrsQUhrZTjK7omjfhJR-CNpLldrR5VWVvDpq0Ok,tim33,95,12,18,False,False,False,False,
1cac589c-5e51-4cf4-88df-cd65c9f80b9b,RANKED_SOLO_5x5,IRON,IV,ngDMbHLgHS9AqR9cQOg3B8pI2dJW0ipg2-EDHD6VwnA-X2k,Veny1960,27,1,10,False,False,False,False,
3f03de48-75f8-417a-b4c8-3e2cda725733,RANKED_SOLO_5x5,IRON,IV,QDf-qshDGZYGgHzmcLu4zcHnUyMOFBPhUCCZs8tiDs_J_jo,phalk0n,86,2,9,False,False,False,False,
908a49da-e1bb-4559-b4f4-316fedfcdb56,RANKED_SOLO_5x5,IRON,IV,X3k5ejo2OGZchz6l9-9-ZMfLERGO1UKWBvCGVh3cZkOfrdg,Bisexual Toaster,29,6,14,False,False,False,False,
978bff06-af56-4152-b7fc-68dc5d19fcf1,RANKED_SOLO_5x5,IRON,IV,rFlzoLh9jth34pLKpsNx8w-hVaonnzbFD8uxzwjbdAvv0HI,OneNitePlays,97,11,16,False,False,False,True,
755a76a0-9bb0-47b3-a51b-fff8623f20c3,RANKED_SOLO_5x5,IRON,IV,rdAuRpjUAPSz77y_yiLdUd9HB3idaGwnS6Vp9cm9fZc2xpE,Ben9xx,19,100,192,False,False,False,False,
efc194ef-ca5d-447a-966b-b654adad8fcc,RANKED_SOLO_5x5,IRON,IV,4n5GxUyrF2n6i76zNd4KAsDHjeMIfBIlGEM-g1yhSKlV1cU,Minion Overlord4,0,11,17,False,False,False,False,
f92eb96b-1772-412b-8973-32e5d106dd5a,RANKED_SOLO_5x5,IRON,IV,G1-rBFesLg10fMcU96SSNhfclJLwOr3ZmARz1lWARDsJuDQ,Holy Onyx,7,7,22,False,False,False,False,
dc75aefa-6d27-4cb4-a36d-442ae4225ad6,RANKED_SOLO_5x5,IRON,IV,Rymyvo28itpnVzC2AIobNwG6sKgWI2e_XhjGbmtdWlUQ5ZY,Yiansta Monsta,75,22,29,False,False,False,False,
88f2c4f7-b620-4995-a3f2-f338312feb86,RANKED_SOLO_5x5,IRON,IV,CujhUEqobBGeuQgwcJ5RcP1dG1yCamxxxFuCT-A8ilFw0ts,tim217,10,13,25,False,False,False,False,
d1835b9a-33a6-4764-91bb-f7771f6a2c7c,RANKED_SOLO_5x5,IRON,IV,KnfJG2TIHIUIH6RCXJ6jkC4rTYgjHKvtK88USUgRuJwZQeg,BudJar,0,53,97,True,False,False,False,
ba50c5dd-aaa9-4193-8b32-870ce08e718e,RANKED_SOLO_5x5,IRON,IV,k_uIKmboN5uI7C3IMmUIUvRHspIyn4BWlMVY6qu6SHflm_U,jeedy1,8,13,23,False,False,False,False,
8546512d-85a0-412a-ad48-25515fd32a48,RANKED_SOLO_5x5,IRON,IV,JUyBOL2mZyNuZvuW2Dx4kkl3G_jRYxZ9UMrT7wSlW6HOqyg,luckieskillz77,66,2,11,False,False,False,False,
1226d83b-19cd-4cab-b2ec-265ddcbb0915,RANKED_SOLO_5x5,IRON,IV,KmI_4CiuURkfXj7cOehj_Kig-4-gP71FdEvnJgqneM_4bo8,KittyChit,84,571,724,False,False,False,True,
2aa4346a-004b-41b2-a56d-c9941e548150,RANKED_SOLO_5x5,IRON,IV,8IoKXOiI-KoSOovE0edM_ydB1lY8KiCuGrUlWuRYJ-cEmPk,KashCrane69,65,31,38,False,False,False,False,
d74478de-d63c-45cc-a5ec-01cae440060f,RANKED_SOLO_5x5,IRON,IV,sA7M4fLlsJP-YhXMnkmnKBMc-bEbqLXCQK-37GrhTs2dC1Q,Theodore Rex,95,2,8,False,False,False,False,
3ed22cee-e153-4c7a-b385-cebc36a37f76,RANKED_SOLO_5x5,IRON,IV,XpxDzwOG1mgU9B-oH-RwtqZDK6MR8H-ap9VtJ5T8G4t08hw,TequilaHogue,16,17,26,False,False,False,False,
3c2f8c72-48b6-47a6-b02f-e52325fdb203,RANKED_SOLO_5x5,IRON,IV,qLqjbXKheDiLEE6yc7sVSpgN078H34e9BlZgE0Dx-fajooQ,Taint Sniffer,64,1,9,False,False,False,False,
ffc61505-bccc-4d8c-8f4f-22d3c876ae72,RANKED_SOLO_5x5,IRON,IV,aGXPPXaWflauXMmapgA2FrJCFDqHBdrefsVOGVENfNppRjE,The Sir Shadow,53,12,14,False,False,False,False,
