,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId
8394,96,7,123036,1600023228000,101436,0,True,0,JEEaVQI8sClAGwOr8A1cNU9xejnmDKTYE3w2plBjD1zn2WA
8395,13,7,158708,1582930271000,137108,0,False,0,GQ1ryUgQ02344IAD9KGEZI4QjdpzNXJnlQ_fHGcr_L9IJqA
8396,13,7,927577,1600750917000,905977,0,True,0,lZbjtMJq5mww0aYiFRD3YCZVIwV1GiLiJI1Qnfc9ChX5gQk
8397,412,7,183427,1603399334000,161827,0,True,0,A3mYn3B5dX_RP_Z3ECKFk9mQhqFoUpHEBCWPxlWINSAAweM
8398,104,7,120828,1603496822000,99228,0,True,0,4Z0Vh9ZU6yCfGiGfZQC8_wC9F9Cjx-ue4Kh1xlVHmZofuRs
8399,64,5,32087,1592552081000,10487,0,True,2,kCB3ZGp8MJ4krzOjizNin5SaP7CfiOGMphTxEZTu9e054Kbb
8400,157,7,206817,1603144185000,185217,0,True,0,Ub5zqBIibC09s5fYe2uOI3UmGNZpD2kVPVz_QT6RmaHyvuxz
8401,75,7,96874,1599366815000,75274,0,True,0,5PjBIQ-ZaJMV43vk6An-4pT04gmTdWvQH8BMt4IXR7N70yM
8402,92,7,119166,1588960554000,97566,0,False,0,dxp90q7uOadXcQYgln8VIv5k2NGLOACTHMKWvvmcBoJx_zQ
8403,161,4,14776,1597273686000,2176,6824,True,0,90-hlwypCHcCzFs-eDblXbw3dQQGPSZOFsiha2Y6dnw02gTZ
8404,24,6,269738,1602988388000,248138,0,True,1,IcMQVFXSi-gL-i2h_k3fNt-QRQuulN-ABBFt7BnAresDVec
8405,122,7,549117,1603523334000,527517,0,True,0,dCxT7M5JNwUMxq__w40--nzd8PtKNOMpuYI9xBUDHoLD6gQ
8406,161,7,779523,1600561439000,757923,0,True,0,s-RIE5ig9W0DSxuvyy8ZyZ41dSLJ2hpw03gO-jU1OCoB3Ds
8407,11,7,284808,1602191316000,263208,0,False,0,QGGE9YxFV3egb-qUBJQhlCE0VB5nYKcRkr6uqRBzobClXls
8408,19,7,191445,1602551620000,169845,0,True,0,CDrgHWCij7HGq9mD5xZPmLpntTuWiyW1KCP8vEwY3mRHjCv-
8409,8,5,131099,1600260965000,109499,0,True,2,3DN85QtH5clt_Qh7FA4zRiDYacyP3Jjdv819VJTzaIu9PUo
8410,28,5,48358,1556687161000,26758,0,False,2,fd4XmyH3KdK8I4xJfOyCIkn9ArjquAvk1YlNn_ZuDP_a9Mg
8411,8,5,54127,1603071376000,32527,0,False,0,9snfK-UuWN7SYJU2BY04-h_UJ2y12EnoTnCxnHwkQa9a2X8
8412,142,7,181203,1580519562000,159603,0,True,0,cbGXrrBlI9_An-TQn55fHEuXlZr4X_1CWyFfRQnekQXbWAU
8413,142,7,244895,1603403833000,223295,0,True,0,Xf4OKSOxQvyaafX0naz1By2k1hCLhjTT2pESQvoyVwvwZbc
8414,13,3,7119,1601978528000,1119,5481,False,0,LKiyNaFQQx5GTi_0Ex76lwLt4C3Muqq4IM1deL1f1JY_PgFd
8415,127,7,92353,1602364652000,70753,0,True,0,BDzqefJqTrhiH_wVQqUHmX6BKZDfC0p7c936NRQ7BV3hWXDC
8416,29,7,138381,1600119550000,116781,0,True,0,qqwJYldwq9OVt3NOxgdXG_IB_u0mOxRHZILB6p9TiTlrbqc
8417,51,7,178979,1596564255000,157379,0,True,0,NK2CR2epOoTF9RK07AK28hsqxW0pqw62JFAhumQxmFjMRcc
8418,117,5,63578,1597793624000,41978,0,True,2,49WtjumyNdh0sK_qSms5yecNvd7r8W4fk3xnk7swzSQ3xlw
8419,131,7,948730,1603508782000,927130,0,True,0,ZxEYKdsNRuBYdRrpbbxDLmjNvZrZWvPc85i_tPGArhZzM8A
8420,92,7,78496,1560904082000,56896,0,False,0,Mkja3nIVhNCU9dUgeMWa6oeJSd-RuGqYRmTLt68JF9K-Sl4
8421,53,7,173145,1602891614000,151545,0,True,0,RnJgO89sIWwA9Z2DhgDn5tmP4oTUHfSFtkXJReTioidsLyw
8422,41,6,36485,1541825259000,14885,0,False,1,6nuMUXFncvj0pVhuJxnjP8Uu80qJRkvc2wZAi2WlbZpxL4g
8423,555,7,86602,1601563834000,65002,0,True,0,2PcpANVhN04Ldx6SZ2DzjePJAGXDar8sL5NPlEoya4aBtFg
8424,412,7,153150,1602124439000,131550,0,True,0,G1I-cFUoWogDjKo7Q3fUn78fXAxPYIXKwzPgfEfw7dpBbiA
8425,134,5,21659,1590280357000,59,0,True,0,nA5PI6IVw5m7wagMdNMmYNMc5EOwiivlyJ9bd396GNZTtqw
8426,117,7,342625,1597535635000,321025,0,True,0,NXxpo3kEzzNp-47ZcZgT0APYkjGt_TFy3Cfo0vBxZykqVso
8427,13,4,21245,1602734116000,8645,355,True,0,nf8nyGkTHgT25vQ7ZIHncovMkF1gglcRkeuMG5i1Uma2_jF-
8428,91,7,583353,1603514839000,561753,0,True,0,IhXzFzFPNQeDPwOTbxFJqLaufY0rCkVlOdvf-S2eNJw0GP8
8429,222,7,470998,1581731428000,449398,0,False,0,uRa36Jg_8OgF_Bcg9D-qAi9N7VWIbrKt8SPOGpys4hA4
8430,104,5,46975,1593244012000,25375,0,True,2,YLiN0DqgzF0mKfa8yYgym3LbVv_4D2fqEssAcSl2O4gmiWm6
8431,11,7,675560,1600708409000,653960,0,True,0,iX3w532qGWA-jlq1Nhb9KEu8II_TXsYXMNzDTImD_K67cnU
8432,238,7,200168,1603517785000,178568,0,False,0,qzQSk0-BV5t66zhV97wET6HUcPwe2NBIXThA4oLMwGTtnzI
